0	0.154	0.000000
0.0185	0.154	0.002849
0.0335	0.154	0.005159
0.0495	0.154	0.007623
0.0655	0.153	0.010022
0.0835	0.153	0.012776
0.155	0.152	0.023560
0.23	0.152	0.034960
0.3	0.151	0.045300
0.3725	0.15	0.055875
0.4275	0.144	0.061560
0.465	0.134	0.062310
0.4875	0.123	0.059963
0.502	0.112	0.056224
0.513	0.102	0.052326
0.5495	0.055	0.030223
0.56	0.037	0.020720
0.5655	0.0281	0.015891
0.5685	0.0227	0.012905
0.5705	0.019	0.010840
0.572	0.016	0.009152
0.573	0.0142	0.008137
0.574	0.0127	0.007290
0.575	0.012	0.006900
0.5775	0.006	0.003465
0.579	0.003	0.001737
0.58	0.002	0.001160
0.5805	0.001	0.000581
0.581	0.001	0.000581
0.5815	0.0006	0.000349
0.5816	0.0003	0.000174
0.58165	0.0002	0.000116
0.5818	0.0001	0.000058
0.582	0.0001	0.000058
0.5825	0	0.000000
